Marca,Descrizione,Formato,Prezzo,Offerta
AURA,NATURALE - FRIZZANTE 1.5L,,1.29,Si
CLAUDIA,EFFERVESCENTE NATURALE 1.5L,,1.95,No
CONSILIA,NATURALE - FRIZZANTE 1.5L,,1.56,No
EGERIA,EFFERVESCENTE NATURALE 1.5L,,2.29,No
EVA,NATURALE 1.5L,,2.60,No
FABIA,NATURALE 1.5L,,1.89,No
FERRARELLE,1.5L,,2.90,No
FERRARELLE MAXIMA,FRIZZANTE 1.5L,,2.89,No
FIUGGI,VETRO 1L,,6.99,No
FONTE ESSENZIALE,NATURALE 1L,,5.29,No
GRAZIA,EFFERVESCENTE NATURALE 1.5L,,1.89,No
LAURETANA,NATURALE PET 1.5L,,3.99,No
LETE,EFFERVESCENTE NATURALE 1.5L,,2.59,No
LEVISSIMA,NATURALE 1.5L,,3.49,No
NEPI,EFFERVESCENTE NATURALE 1.5L,,3.54,No
PANNA,1.5L,,3.69,No
ROCCHETTA,NATURALE 1.5L,,3.49,No
ROCCHETTA BRIOBLU,LEGGERMENTE FRIZZANTE 1.5L,,3.49,No
SAN BENEDETTO,NATURALE ECOGREEN 1.5L,,2.59,No
SANGEMINI,1.5L,,5.29,No
SANT'ANNA,NATURALE 1.5L,,2.89,No
SANTAGATA,EFFERVESCENTE NATURALE 1.5L,,2.28,No
SANTA CROCE,NATURALE 1.5L,,2.49,No
ULIVETO,1.5L,,3.49,No
VALMORA,NATURALE 1.5L,,2.19,No
VITASNELLA,1.5L,,3.09,No